datetime,azimuth,elevation,tracker_theta
2025-07-21 20:00:00+02:00,289.76492988392135,10.37180322168242,78.994325721928
2025-07-21 21:00:00+02:00,301.0818863341865,2.12950715366721,87.51392384272923
2025-07-21 22:00:00+02:00,313.01290582278955,-5.630960767840427,0.0
2025-07-21 23:00:00+02:00,325.84304275676345,-11.72196689164102,0.0
2025-07-22 00:00:00+02:00,339.643872952959,-16.016046721439448,0.0
2025-07-22 01:00:00+02:00,354.19315706945036,-18.1435761975911,0.0
2025-07-22 02:00:00+02:00,8.986054396468887,-17.892109614632943,0.0
2025-07-22 03:00:00+02:00,23.414779621012485,-15.288108689174875,0.0
2025-07-22 04:00:00+02:00,37.02452828893979,-10.586033712168202,0.0
2025-07-22 05:00:00+02:00,49.65886135331891,-4.1744870812926615,0.0
2025-07-22 06:00:00+02:00,61.44201108996981,3.7320821254919623,-85.75272934781769
2025-07-22 07:00:00+02:00,72.69448639205206,12.201308549503782,-77.23871261461223
2025-07-22 08:00:00+02:00,83.87885501296415,21.310312850490917,-68.57853893702159
2025-07-22 09:00:00+02:00,95.61375389401536,30.630974025572925,-59.24812358666364
2025-07-22 10:00:00+02:00,108.76189044179682,39.74893725904215,-48.70614734631121
2025-07-22 11:00:00+02:00,124.56195879110658,48.09416152992779,-36.466165946145765
2025-07-22 12:00:00+02:00,144.5580071404297,54.763998219215644,-22.274259543503533
2025-07-22 13:00:00+02:00,169.40253689849692,58.438119004359834,-6.4455055216784265
2025-07-22 14:00:00+02:00,196.27031788840773,57.962452443901284,9.944295425131088
2025-07-22 15:00:00+02:00,220.14304158140624,53.50853356229023,25.496609545281053
2025-07-22 16:00:00+02:00,239.09911959627829,46.36796057402205,39.28426751448113
2025-07-22 17:00:00+02:00,254.19027080284081,37.784170823067186,51.141053275758956
2025-07-22 18:00:00+02:00,266.9353274814896,28.57093108397934,61.3946141692266
2025-07-22 19:00:00+02:00,278.4822970824348,19.25031873204531,70.55268416132105
2025-07-22 20:00:00+02:00,289.63031910308797,10.222103459570622,79.16164679286062
2025-07-22 21:00:00+02:00,300.96019502341164,1.9809057549512796,87.69030400454099
2025-07-22 22:00:00+02:00,312.90696940804963,-5.80240806516349,0.0
2025-07-22 23:00:00+02:00,325.758055256432,-11.905482044920808,0.0
2025-07-23 00:00:00+02:00,339.5866890448634,-16.21014100088745,0.0
2025-07-23 01:00:00+02:00,354.16999967245647,-18.34432475084754,0.0
2025-07-23 02:00:00+02:00,8.999411698274457,-18.09389037855054,0.0
2025-07-23 03:00:00+02:00,23.461990306654798,-15.485335275628191,0.0
2025-07-23 04:00:00+02:00,37.09945598902908,-10.77482598774069,0.0
2025-07-23 05:00:00+02:00,49.75492863845295,-4.353315807507168,0.0
2025-07-23 06:00:00+02:00,61.554257619805014,3.5692347111193268,-85.94221625793806
2025-07-23 07:00:00+02:00,72.8201025270406,12.040243994777,-77.41498826278426
2025-07-23 08:00:00+02:00,84.01673359786344,21.152814841604098,-68.74164163863688
2025-07-23 09:00:00+02:00,95.76335057698577,30.473265611958684,-59.399668598856735
2025-07-23 10:00:00+02:00,108.92070493866493,39.58573114046243,-48.843921296641895
2025-07-23 11:00:00+02:00,124.71927168465578,47.91921601012331,-36.5824538819886
2025-07-23 12:00:00+02:00,144.68206031983715,54.57259730727932,-22.35540013166173
2025-07-23 13:00:00+02:00,169.43624673514296,58.23424782558598,-6.476346780810568
2025-07-23 14:00:00+02:00,196.18555754685468,57.762608436225904,9.970258048236138
2025-07-23 15:00:00+02:00,219.9852204393816,53.32628073008222,25.571742600552163
2025-07-23 16:00:00+02:00,238.92170341513895,46.20327610727117,39.39366751085109
2025-07-23 17:00:00+02:00,254.01767694657298,37.630568880537986,51.27205844024941
2025-07-23 18:00:00+02:00,266.7743332299747,28.421623880131833,61.54033164318004
2025-07-23 19:00:00+02:00,278.3337153709063,19.099820247455725,70.71133125689903
2025-07-23 20:00:00+02:00,289.49403106651124,10.066663898771862,79.33484052645996
